t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
1.20000000e-01,0.00000000e+00,7.04700381e-23,1.40418000e-22,2.09265831e-22,2.76337158e-22,3.40841970e-22,4.01901037e-22,4.58621175e-22,5.10229273e-22,5.56267153e-22,5.96839283e-22,6.32889121e-22,6.66454607e-22,7.00815279e-22,7.40387724e-22,7.90145979e-22,8.54230530e-22,9.33252484e-22,1.01958386e-21,1.08963213e-21,1.13036787e-21
1.28000000e-01,0.00000000e+00,6.54526788e-23,1.30852336e-22,1.96046767e-22,2.60700507e-22,3.24241146e-22,3.85851464e-22,4.44522309e-22,4.99179178e-22,5.48890675e-22,5.93157410e-22,6.32262958e-22,6.67640168e-22,7.02161592e-22,7.40194821e-22,7.87163010e-22,8.48205231e-22,9.25324162e-22,1.01211848e-21,1.08479589e-21,1.12720438e-21
1.36000000e-01,0.00000000e+00,5.93612783e-23,1.19175413e-22,1.79757279e-22,2.41160985e-22,3.03088277e-22,3.64845341e-22,4.25366374e-22,4.83322178e-22,5.37329164e-22,5.86266037e-22,6.29688718e-22,6.68303724e-22,7.04409580e-22,7.42135298e-22,7.87181713e-22,8.45587912e-22,9.20777764e-22,1.00775917e-21,1.08280982e-21,1.12681626e-21
1.44000000e-01,0.00000000e+00,5.30099063e-23,1.06954843e-22,1.62602369e-22,2.20398722e-22,2.80343719e-22,3.41912207e-22,4.04043087e-22,4.65219403e-22,5.23662949e-22,5.77661359e-22,6.26030464e-22,6.68683644e-22,7.07224130e-22,7.45383130e-22,7.88978883e-22,8.44845201e-22,9.17839842e-22,1.00454874e-21,1.08159196e-21,1.12707546e-21
1.52000000e-01,0.00000000e+00,4.71586699e-23,9.56557797e-23,1.46646218e-22,2.00927963e-22,2.58791455e-22,3.19908583e-22,3.83283871e-22,4.47296169e-22,5.09862835e-22,5.68756765e-22,6.22094516e-22,6.68983630e-22,7.10257830e-22,7.49123855e-22,7.91370237e-22,8.44513890e-22,9.14840059e-22,1.00066299e-21,1.07921444e-21,1.12601556e-21
1.60000000e-01,0.00000000e+00,4.24179202e-23,8.64555217e-23,1.33549113e-22,1.84773168e-22,2.40674912e-22,3.01136288e-22,3.65286091e-22,4.31494536e-22,4.97490842e-22,5.60647812e-22,6.18470046e-22,6.69295184e-22,7.13156502e-22,7.52639836e-22,7.93368241e-22,8.43421305e-22,9.10482062e-22,9.94718720e-22,1.07423410e-21,1.12217008e-21
1.68000000e-01,0.00000000e+00,3.91879978e-23,8.01269739e-23,1.24402301e-22,1.73266082e-22,2.27469466e-22,2.87105044e-22,3.51480750e-22,4.19060328e-22,4.87518973e-22,5.53972467e-22,6.15437222e-22,6.69556575e-22,7.15568537e-22,7.55366578e-22,7.94279921e-22,8.40817770e-22,9.04003093e-22,9.85952775e-22,1.06588323e-21,1.11476710e-21
1.76000000e-01,0.00000000e+00,3.76375992e-23,7.69969451e-23,1.19669245e-22,1.66974246e-22,2.19803462e-22,2.78451792e-22,3.42455984e-22,4.10476192e-22,4.80276220e-22,5.48874998e-22,6.12949186e-22,6.69552308e-22,7.17159701e-22,7.56919682e-22,7.93742313e-22,8.36417172e-22,8.95217083e-22,9.74266045e-22,1.05411383e-21,1.10377353e-21
1.84000000e-01,0.00000000e+00,3.77174875e-23,7.69728954e-23,1.19224124e-22,1.65749488e-22,2.17514574e-22,2.75002587e-22,3.38021965e-22,4.05526853e-22,4.75511295e-22,5.45063053e-22,6.10680096e-22,6.68948593e-22,7.17632605e-22,7.57095425e-22,7.91702379e-22,8.30356060e-22,8.84454732e-22,9.60148336e-22,1.03951261e-21,1.08980673e-21
1.92000000e-01,0.00000000e+00,3.92014929e-23,7.96224719e-23,1.22465192e-22,1.68868509e-22,2.19809675e-22,2.75942991e-22,3.37382806e-22,4.03463673e-22,4.72541538e-22,5.41933357e-22,6.08121001e-22,6.67353933e-22,7.16747948e-22,7.55850331e-22,7.88354744e-22,8.23091904e-22,8.72427397e-22,9.44515571e-22,1.02312132e-21,1.07394907e-21
