t,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20
1.20000000e-01,0.00000000e+00,1.44899497e-05,5.72468483e-05,1.27320584e-04,2.23888233e-04,3.46177198e-04,4.93368207e-04,6.64538510e-04,8.58706890e-04,1.07498657e-03,1.31275707e-03,1.57169459e-03,1.85153429e-03,2.15161241e-03,2.47047399e-03,2.80592368e-03,3.15562313e-03,3.51772775e-03,3.89064535e-03,4.27172833e-03,4.65686340e-03
1.28000000e-01,0.00000000e+00,1.58461095e-05,6.23681202e-05,1.38202282e-04,2.42209869e-04,3.73429613e-04,5.30958719e-04,7.13824977e-04,9.20945624e-04,1.15122929e-03,1.40376923e-03,1.67796194e-03,1.97336838e-03,2.28928883e-03,2.62429926e-03,2.97617670e-03,3.34243565e-03,3.72104834e-03,4.11035529e-03,4.50778028e-03,4.90926663e-03
1.36000000e-01,0.00000000e+00,1.71776983e-05,6.73990865e-05,1.48894961e-04,2.60211775e-04,4.00195924e-04,5.67860948e-04,7.62196079e-04,9.82038055e-04,1.22611044e-03,1.49322279e-03,1.78247112e-03,2.09320959e-03,2.42468279e-03,2.77551004e-03,3.14348101e-03,3.52600337e-03,3.92087882e-03,4.32636395e-03,4.73993129e-03,5.15757043e-03
1.44000000e-01,0.00000000e+00,1.84657655e-05,7.22858810e-05,1.59321850e-04,2.77821638e-04,4.26434026e-04,6.04072702e-04,8.09677918e-04,1.04201188e-03,1.29963170e-03,1.58107892e-03,1.88514745e-03,2.21096631e-03,2.55770675e-03,2.92403480e-03,3.30778004e-03,3.70627452e-03,4.11715971e-03,4.53859414e-03,4.96808055e-03,5.40164831e-03
1.52000000e-01,0.00000000e+00,1.96985502e-05,7.69956358e-05,1.69437595e-04,2.94999655e-04,4.52125443e-04,6.39600317e-04,8.56289403e-04,1.10087599e-03,1.37177069e-03,1.66727570e-03,1.98589885e-03,2.32653795e-03,2.68827348e-03,3.06981031e-03,3.46903000e-03,3.88320919e-03,4.30983662e-03,4.74696219e-03,5.19210647e-03,5.64133773e-03
1.60000000e-01,0.00000000e+00,2.08706762e-05,8.15134752e-05,1.79222147e-04,3.11729314e-04,4.77264301e-04,6.74448424e-04,9.02036130e-04,1.15862125e-03,1.44248954e-03,1.75174259e-03,2.08463181e-03,2.43982708e-03,2.81629993e-03,3.21277568e-03,3.62718604e-03,4.05676295e-03,4.49884801e-03,4.95137588e-03,5.41187847e-03,5.87646719e-03
1.68000000e-01,0.00000000e+00,2.19817556e-05,8.58379780e-05,1.88672861e-04,3.28007230e-04,5.01846989e-04,7.08612005e-04,9.46907151e-04,1.21522331e-03,1.51174348e-03,1.83441272e-03,2.18126379e-03,2.55074796e-03,2.94170896e-03,3.35286667e-03,3.78219130e-03,4.22687458e-03,4.68411640e-03,5.15173333e-03,5.62726633e-03,6.10687700e-03
1.76000000e-01,0.00000000e+00,2.30350750e-05,8.99772082e-05,1.97798222e-04,3.43836052e-04,5.25866104e-04,7.42072924e-04,9.90874911e-04,1.27064589e-03,1.57948654e-03,1.91522938e-03,2.27572882e-03,2.65922969e-03,3.06442928e-03,3.49001254e-03,3.93397182e-03,4.39346092e-03,4.86554517e-03,5.34792341e-03,5.83814504e-03,6.33242874e-03
1.84000000e-01,0.00000000e+00,2.40365565e-05,9.39458444e-05,2.06613947e-04,3.59221118e-04,5.49309032e-04,7.74800845e-04,1.03389786e-03,1.32484376e-03,1.64567366e-03,1.99414669e-03,2.36797668e-03,2.76521464e-03,3.18439399e-03,3.62413558e-03,4.08243735e-03,4.55641878e-03,5.04302082e-03,5.53982728e-03,6.04439498e-03,6.55300392e-03
1.92000000e-01,0.00000000e+00,2.49938868e-05,9.77630010e-05,2.15140601e-04,3.74169532e-04,5.72159518e-04,8.06757002e-04,1.07592480e-03,1.37776565e-03,1.71026061e-03,2.07112638e-03,2.45796790e-03,2.86865373e-03,3.30153833e-03,3.75515243e-03,4.22748601e-03,4.71563126e-03,5.21641843e-03,5.72732066e-03,6.24589925e-03,6.76849570e-03
2.00000000e-01,0.00000000e+00,2.59156474e-05,1.01450120e-04,2.23401493e-04,3.88689819e-04,5.94400120e-04,8.37898919e-04,1.11689996e-03,1.42935716e-03,1.77320325e-03,2.14613328e-03,2.54566726e-03,2.96950071e-03,3.41579708e-03,3.88297589e-03,4.36901010e-03,4.87097543e-03,5.38560824e-03,5.91027635e-03,6.44254010e-03,6.97879855e-03
2.08000000e-01,0.00000000e+00,2.68103658e-05,1.05028601e-04,2.31420098e-04,4.02790966e-04,6.16013993e-04,8.68184586e-04,1.15676775e-03,1.47956386e-03,1.83445719e-03,2.21913168e-03,2.63103824e-03,3.06770704e-03,3.52710226e-03,4.00751658e-03,4.50690121e-03,5.02232907e-03,5.55046140e-03,6.08856638e-03,6.63419604e-03,7.18379954e-03
2.16000000e-01,0.00000000e+00,2.76855470e-05,1.08517279e-04,2.39217018e-04,4.16480569e-04,6.36985439e-04,8.97575318e-04,1.19547654e-03,1.52833412e-03,1.89397837e-03,2.29008324e-03,2.71403939e-03,3.16321852e-03,3.63538155e-03,4.12868391e-03,4.64105343e-03,5.16957497e-03,5.71085370e-03,6.26206380e-03,6.82074036e-03,7.38337339e-03
2.24000000e-01,0.00000000e+00,2.85468308e-05,1.11930155e-04,2.46807054e-04,4.29762614e-04,6.57299446e-04,9.26037194e-04,1.23298123e-03,1.57562142e-03,1.95172401e-03,2.35894651e-03,2.79462297e-03,3.25597392e-03,3.74055765e-03,4.24638654e-03,4.77136485e-03,5.31260290e-03,5.86666741e-03,6.43064366e-03,7.00204120e-03,7.57738145e-03
2.32000000e-01,0.00000000e+00,2.93974335e-05,1.15274858e-04,2.54197123e-04,4.42635675e-04,6.76940871e-04,9.53541385e-04,1.26924430e-03,1.62138556e-03,2.00765363e-03,2.42567754e-03,2.87273526e-03,3.34590525e-03,3.84254871e-03,4.36053275e-03,4.89773765e-03,5.45130944e-03,6.01779114e-03,6.59418351e-03,7.17796282e-03,7.76567384e-03
2.40000000e-01,0.00000000e+00,3.02379709e-05,1.18552138e-04,2.61385519e-04,4.55092174e-04,6.95893865e-04,9.80063819e-04,1.30423569e-03,1.66559278e-03,2.06172945e-03,2.49023071e-03,2.94831800e-03,3.43293952e-03,3.94126965e-03,4.47103095e-03,5.02007752e-03,5.58559679e-03,6.16411882e-03,6.75256336e-03,7.34836739e-03,7.94809342e-03
